stop_id,visible,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,equipment_id,contributor_id,geometry_id
BSO:SA:CTPconecam,1,"Ecames",50.652039,1.658695,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconfore2,1,"Conteville Forêt",50.744083,1.73714,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconmair2,1,"Mairie de Condette",50.654011,1.633745,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconoix1,1,"Conteville Croix",50.740543,1.737721,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconpas1,1,"Pasteur",50.649303,1.626731,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconpav1,1,"Le Pavé",50.65398,1.642079,,1,,Europe/Paris,,BSO,
BSO:SA:CTPconplac,1,"Conteville Place",50.744827,1.731527,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdancit,1,"Cité",50.596401,1.622996,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdanmai1,1,"Cimenterie",50.590019,1.615356,,1,,Europe/Paris,,BSO,
BSO:SA:CTPdanpet2,1,"Petit Robinson",50.585129,1.614266,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechechi,1,"Echinghen",50.703323,1.647882,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechespr,1,"Esprée",50.705845,1.659736,,1,,Europe/Paris,,BSO,
BSO:SA:CTPechmenn,1,"Menneville",50.699417,1.644515,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequace,1,"La Planquette",50.679146,1.573555,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequbecq,1,"Le Becquet",50.677193,1.570279,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequcime,1,"Cimetière d'Equihen Plage",50.68169,1.57657,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequdune,1,"Les Dunes",50.676624,1.572671,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequesto,1,"Les Estombelles",50.675911,1.571973,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequfala,1,"Les Falaises",50.67347,1.571436,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequpale,1,"Palézieux",50.677547,1.574798,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequplag,1,"La Plage",50.672092,1.572193,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequpomp,1,"La Pompe",50.675373,1.577182,,1,,Europe/Paris,,BSO,
BSO:SA:CTPequrobi,1,"Mont Robin",50.682453,1.571143,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhegmai1,1,"Mairie Hesdigneul",50.657391,1.674216,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhegpass,1,"Passage à niveaux",50.66053,1.66859,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesaix,1,"Pont d'Aix",50.651199,1.671299,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesecol,1,"Hesdin l'Abbé les Ecoles",50.66671,1.683657,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesegli,1,"Eglise d'Hesdigneul",50.663979,1.677925,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesmai1,1,"Mairie Hesdin-L'abbé",50.668743,1.679923,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesmai2,1,"Mairie Hesdin l'Abbé",50.668743,1.679923,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesman1,1,"Le Manoir",50.665161,1.677304,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhestro1,1,"Trois Fontaines",50.668808,1.664967,,1,,Europe/Paris,,BSO,
BSO:SA:CTPhesver1,1,"Vert Giniau",50.665886,1.681963,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqcast,1,"Les Castors",50.674347,1.651499,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqegli,1,"Eglise de Isques",50.672485,1.651074,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqhame,1,"Hameau de la Source",50.681854,1.63642,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqmair,1,"Mairie de Isques",50.67662,1.647319,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqrapo,1,"Résidence Apolline",50.671074,1.657248,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqresi,1,"Résidence de la Liane",50.684555,1.629328,,1,,Europe/Paris,,BSO,
BSO:SA:CTPisqvill,1,"Le Village",50.672375,1.655426,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacchai,1,"Chailly",50.728596,1.705829,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacegli,1,"La Capelle Eglise",50.731495,1.70699,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacgara,1,"Garage",50.732594,1.702934,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacpell,1,"Rue de la Chapelle",50.73402,1.688096,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacpern,1,"Route de Pernes",50.734146,1.692864,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlacpont,1,"Pont Pierreux",50.72216,1.700755,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlebeau3,1,"Beaucerf",50.691761,1.622244,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleobel1,1,"Belle Isle",50.694286,1.62552,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleober1,1,"Bertrand Crouy",50.689117,1.629349,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleobler,1,"Blériot",50.698071,1.60925,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleochat,1,"Château du Pont de Briques",50.685253,1.625527,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleocit,1,"Cité Aurore",50.694069,1.621991,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleodela,1,"Delattre",50.692101,1.61264,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleofle1,1,"Champ Fleury",50.69265,1.627949,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleogal,1,"Général de Gaulle",50.687622,1.627991,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleolave,1,"Lavandières",50.688171,1.620534,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleoleod,1,"Léo Delibes",50.689129,1.631836,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleomair,1,"Mairie de St Léonard",50.68755,1.626072,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleomou1,1,"Avenue du Moulin",50.687469,1.630629,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleopet1,1,"Petit Caporal",50.695641,1.614179,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleopite,1,"Pitendal",50.703117,1.612572,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleopon1,1,"Pont Feuillet",50.690079,1.623877,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleorec1,1,"Rte d'Echinghen",50.694244,1.630724,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleosib,1,"S.I.B.",50.690022,1.616819,,1,,Europe/Paris,,BSO,
BSO:SA:CTPleovall,1,"La Vallée",50.691757,1.630562,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlepcime,1,"Cimetière Ouest",50.716915,1.590733,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpoalpr,1,"Alprech",50.703693,1.572448,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpoave,1,"Avé Maria",50.713097,1.58941,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpoclem,1,"Clémenceau",50.717171,1.589139,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpoegli,1,"Eglise du Portel",50.706635,1.573979,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpogai1,1,"La Gaité",50.710873,1.58255,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpogou,1,"Gournay",50.713783,1.581557,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpohen,1,"Henriville Place",50.716976,1.588759,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpolive,1,"Livenais",50.711102,1.581802,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpolma,1,"Lycée Maritime",50.719753,1.587913,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpoloti,1,"Pierre Loti",50.706715,1.580131,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpomou,1,"Moulin Bleu",50.712521,1.586376,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpopagn,1,"Pagnol",50.708462,1.583998,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlpopfa,1,"Parc de la Falaise",50.715668,1.584649,,1,,Europe/Paris,,BSO,
BSO:SA:CTPlposan2,1,"San Martin",50.708031,1.584219,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneslav1,1,"Lavocat",50.627831,1.645763,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneucoin,1,"4 Coins",50.623405,1.646284,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneucoun,1,"Country",50.633469,1.606191,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneudun1,1,"Dunette",50.624447,1.623898,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneuforg,1,"La Forge",50.615555,1.63738,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneumai1,1,"Mairie Neufchatel-Hardelot",50.619263,1.643037,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneumin,1,"Chemin",50.618984,1.626118,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneupla1,1,"Hardelot Plage",50.634789,1.580159,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneupos1,1,"Poste",50.632557,1.584474,,1,,Europe/Paris,,BSO,
BSO:SA:CTPneuson1,1,"Rue des Sons de Ville",50.611671,1.635845,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutaisn,1,"Aisne",50.698116,1.588778,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutbeet,1,"Beethoven",50.70385,1.579194,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutbert,1,"Paul Bert",50.705608,1.601166,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutbiez,1,"Rue du Biez",50.707008,1.591883,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutcha,1,"Chateau d'Eau",50.699356,1.598274,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutchev,1,"Chevalier",50.69873,1.579954,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutcite,1,"Cité République",50.706322,1.583838,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutcol1,1,"Collège Albert Camus",50.701908,1.588392,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutcrow,1,"Crown Emballage",50.7089,1.607297,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutdebu,1,"Debussy",50.704361,1.577212,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutdela,1,"Delattre",50.702457,1.594554,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutdeni,1,"Denis",50.708912,1.588948,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutdes,1,"Desmoulins",50.698238,1.604682,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutdore,1,"Dorémi",50.700016,1.579692,,1,,Europe/Paris,,BSO,
BSO:SA:CTPouteco,1,"Economat",50.700901,1.594334,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutedo1,1,"Edouard Vaillant",50.695137,1.602868,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutette,1,"Les Mouettes",50.699558,1.578367,,1,,Europe/Paris,,BSO,
BSO:SA:CTPoutfleu,1,"Les Fleurs",50.704865,1.589436,,1,,Europe/Paris,,BSO,
